EA_REGION,BW_ref,Name,de_des_yr,bb_xmax,bb_xmin,bb_ymax,bb_ymin,_zmax,_zmin
SW,21700,Beer,,323648.14126724284,322882.5730247386,89608.6632891912,88570.14902736992,0,0
SW,21800,Sidmouth Town,,313192.9403051492,312099.03632562794,87332.44247503206,86843.08491603844,0,0
SW,21900,Sidmouth Jacobs Ladder,,312110.8116435894,311524.3694597299,87021.40167958365,86668.98124629233,0,0
SW,22000,Ladram Bay,,310726.2032067801,308350.3922649397,85970.48810680839,84515.58369424296,0,0
SW,22100,Budleigh Salterton,,307980.9347654376,306418.25618796516,82106.33336367086,81642.72139017656,0,0
SW,22200,Sandy Bay,,303592.0149172228,303201.94754609093,79802.89832177386,79576.52652037703,0,0
SW,22300,Exmouth,,301378.64560475573,300258.5549683422,80112.87763239443,79543.48402269743,0,0
SW,22400,Dawlish Warren,,298786.8356300462,298002.889814334,79052.34496395662,78224.65217192098,0,0
SW,22500,Dawlish Town,,296931.8241452882,296144.459242424,77110.93192001432,76178.09293732233,0,0
SW,22600,Dawlish Coryton Cove,,296296.77217150666,296071.9921322372,76121.62555350922,75828.43419793993,0,0
SW,22700,Teignmouth Holcombe,,295769.7419394329,295268.49462185614,74660.96559909731,74137.44062295929,0,0
SW,22800,Teignmouth Town,,294754.0162887033,294022.0819842918,73315.93745816499,72304.4110890124,0,0
SW,22900,Shaldon,,294018.17077484354,293164.3503555069,72544.39416477643,72006.67693014815,0,0
SW,23000,Ness Cove,,294245.6770470673,293722.75066722836,72086.88205547258,71253.32846709341,0,0
SW,23100,Maidencombe,,293088.9250543518,292739.914238899,69030.25007613562,67970.86795345694,0,0
SW,23200,Watcombe,,292902.4572140323,292620.85642007366,67620.77241175622,67166.511276979,0,0
SW,23300,Oddicombe,,292904.4171447428,292619.26004369184,66177.33548928797,65517.282406523824,0,0
SW,23400,Babbacombe,,293424.5454704991,292782.4220513804,65643.91344318411,65304.759243370965,0,0
SW,23501,Anstey's Cove (Torquay),,293707.4691542443,293554.6948483791,64744.09398567304,64607.26134650782,0,0
SW,23600,Meadfoot,,293574.5839940263,292867.70620989706,63323.272804571316,62776.49981770106,0,0
SW,23700,Beacon Cove,,292058.13192753214,291628.39959697984,63085.581027178094,62911.144563363865,0,0
SW,23800,Torre Abbey,,291426.11564412806,290601.7383498354,63773.362221514806,63225.63865185529,0,0
SW,23900,Hollicombe,,290102.0112471888,289784.257264344,62452.09697024524,61997.84303702414,0,0
SW,24000,Paignton Preston Sands,,289967.0030995477,289481.42130886577,61979.941404189914,61228.818726437166,0,0
SW,24100,Paignton Paignton Sands,,289854.6819701465,289319.8155094618,61181.13977947645,60356.75844557397,0,0
SW,24200,Goodrington,,289602.77683697734,289212.14392024744,59884.26766106859,58973.52607929148,0,0
SW,24300,Broadsands,,290147.1283399472,289516.59887557477,57996.50101404451,57328.40114117414,0,0
SW,24500,Breakwater Beach (Shoalstone),,293795.92711485457,292883.98024801724,56963.66580982506,56554.80696934648,0,0
SW,24600,St Mary's Bay (Devon),,293394.98816828337,293189.9561599726,55412.800379155204,54942.4328306783,0,0
SW,24700,Dartmouth Castle and Sugary Cove,,288738.60506159905,288591.11612772755,50309.033103628084,50171.701809832826,0,0
SW,24800,Blackpool Sands,,285870.1939095149,285139.85657020885,48032.461877090944,47591.58737740366,0,0
SW,24900,Slapton Sands Monument,,283294.66322919447,282782.4977244539,44793.73809738271,43755.99961395003,0,0
SW,25000,Slapton Sands Torcross,,282578.32789033465,282221.175282212,42489.37848689221,41403.85953621939,0,0
SW,25100,Mill Bay,,274158.45536783803,273801.8998057395,38544.12730295025,38118.32334656268,0,0
SW,25200,Salcombe North Sands,,273388.1975612743,273000.36328930873,38223.47995593026,37631.917216688395,0,0
SW,25300,Salcombe South Sands,,273066.6881301757,272766.83847912494,37807.442257296294,37612.95740524307,0,0
SW,25400,Hope Cove,,267547.73554752395,267318.1235644808,40043.80260171369,39673.50350767188,0,0
SW,25500,Thurlestone South,,267670.2916284222,267477.28522271104,41848.345214206725,41430.16466850415,0,0
SW,25600,Thurlestone North,,267501.33366616536,267241.7955916533,42311.206346429884,41958.14315250702,0,0
SW,25700,Bantham,,266242.786635112,265547.72295916826,44257.114556737244,43568.00431698933,0,0
SW,25800,Bigbury-on-Sea South,,265468.51723917853,264644.842753944,44460.4708963763,43812.24739188701,0,0
SW,25900,Bigbury-on-Sea North,,265050.69909081236,264596.05309290625,44540.30852352828,44009.6929243207,0,0
SW,26000,Challaborough,,264981.7666810462,264549.48118444066,44974.98004913144,44369.544666573405,0,0
SW,26100,Mothecombe,,261318.42998872418,260947.27666432597,47362.657866800204,47109.573086004704,0,0
SW,26200,Wembury,,252089.38138675317,250692.6803071797,48538.028700625524,47944.54209093377,0,0
SW,26300,Bovisand,,249259.4815485971,249027.7442759201,50623.90635799244,50438.016387462616,0,0
SW,26400,Plymouth Hoe East,,247951.81813587807,247156.5286134351,53768.278252488,53407.80708084069,0,0
SW,26500,Plymouth Hoe West,,247700.20447203238,247182.679018924,53798.32546937466,53409.69099144079,0,0
SW,26520,Kingsand,,243643.92192430887,243431.9076289693,50583.73558199592,50344.32618108019,0,0
SW,26530,Cawsand,,243566.500973762,243415.23234731331,50265.714138988405,50141.84061811678,0,0
SW,26600,Portwrinkle,,236431.11599878874,235390.39603819512,53829.82915116288,53447.22100693919,0,0
SW,26700,Downderry,,232038.4673473891,230847.6128767021,54079.10936831497,53547.70656688325,0,0
SW,26800,Seaton (Cornwall),,230730.58097201865,230133.740438628,54466.457193460315,53991.14623192139,0,0
SW,26900,Millendreath,,227350.72760641202,226493.28566387575,54130.08589297533,53723.42759546451,0,0
SW,27000,East Looe,,225910.09705882426,225554.67379639484,53215.226537181064,52968.26199156046,0,0
SW,27100,Readymoney Cove,,211966.38026267197,211785.86398446374,51101.654025159776,50963.10278579593,0,0
SW,27200,Polkerris,,209283.9438096434,209116.0517956866,52169.99735156633,51906.637329673395,0,0
SW,27300,Par Sands,,208816.443692022,207488.01832883433,53384.13767206669,52211.65860583261,0,0
SW,27400,Shorthorn Beach,,206686.74052804988,206031.3936335314,52245.62075600587,52016.01016522758,0,0
SW,27500,Crinnis Beach,,206055.5538376812,205319.29178886395,52137.49506775476,51822.706821480766,0,0
